JK;Usia;Asal;Biaya;Pekerjaan_Ortu;Pend_Ayah;Pend_Ibu;Kiriman;Pengeluaran;Beasiswa
PEREMPUAN;17;BANTEN;8000000;TNI/POLRI;DIPLOMA;SMA/Sederajat;1000000;800000;TIDAK
PEREMPUAN;18;JAKARTA;6000000;WIRASWASTA;S1;DIPLOMA;1600000;800000;TIDAK
LAKI-LAKI;18;PONTIANAK;6000000;WIRASWASTA;SMA/Sederajat;SMA/Sederajat;500000;500000;TIDAK
PEREMPUAN;18;BOYOLALI;2400000;PETANI;S1;SMA/Sederajat;700000;700000;YA
LAKI-LAKI;18;JEPARA;2400000;WIRASWASTA;SMP;SMA/Sederajat;1000000;750000;TIDAK
PEREMPUAN;18;TANGERANG SELATAN;10000000;WIRASWASTA;S1;DIPLOMA;1000000;950000;TIDAK
LAKI-LAKI;18;TASIKMALAYA;6000000;BURUH;SMP;S1;500000;450000;TIDAK
PEREMPUAN;17;CIREBON;2400000;BURUH;SD;SMP;700000;700000;TIDAK
PEREMPUAN;18;CILACAP;2400000;PETANI;SD;SD;700000;900000;YA
PEREMPUAN;17;SUMATERA UTARA;2400000;WIRASWASTA;SMP;SMP;750000;700000;TIDAK
PEREMPUAN;18;BOGOR;2400000;KARYAWAN SWASTA;S1;S1;1500000;1500000;TIDAK
PEREMPUAN;19;KEDIRI;0;WIRASWASTA;SMA/Sederajat;SMA/Sederajat;500000;500000;YA
PEREMPUAN;18;DEPOK;10000000;PNS;S2;S2;1250000;1250000;TIDAK
LAKI-LAKI;17;BANGKA BELITUNG;6000000;WIRASWASTA;SD;SMP;700000;600000;TIDAK
PEREMPUAN;18;JEPARA;8000000;PNS;S1;S1;1000000;1000000;YA
LAKI-LAKI;18;SUMATERA BARAT;0;PETANI;SMP;SMA/Sederajat;500000;500000;YA
LAKI-LAKI;18;LAMPUNG;8000000;PNS;S1;S1;900000;800000;TIDAK
LAKI-LAKI;19;BEKASI;8000000;WIRASWASTA;SMA/Sederajat;SMA/Sederajat;500000;500000;TIDAK
LAKI-LAKI;19;LOMBOK;6000000;PNS;SMP;SMP;1000000;600000;TIDAK
PEREMPUAN;19;KEDIRI;2400000;WIRASWASTA;SMA/Sederajat;SMA/Sederajat;700000;700000;TIDAK
PEREMPUAN;18;BOGOR;2400000;KARYAWAN SWASTA;SMA/Sederajat;SMA/Sederajat;300000;300000;TIDAK
PEREMPUAN;18;TANGERANG;10000000;WIRASWASTA;S1;S1;1500000;1400000;TIDAK
LAKI-LAKI;19;KEBUMEN;8000000;KARYAWAN SWASTA;SMA/Sederajat;SMP;600000;500000;TIDAK
LAKI-LAKI;18;BELITUNG;6000000;WIRASWASTA;SMA/Sederajat;SMA/Sederajat;700000;600000;TIDAK
PEREMPUAN;18;SUMEDANG;2400000;WIRASWASTA;SMA/Sederajat;SMP;1500000;1500000;TIDAK
PEREMPUAN;18;JAKARTA;0;WIRASWASTA;DIPLOMA;S1;700000;600000;YA
